date,pump_index,std_rush_order,avg_rush_order,std_trades,std_volume,avg_volume,std_price,avg_price,avg_price_max,hour_sin,hour_cos,minute_sin,minute_cos,symbol,gt
2018-12-30 17:00:00,0,0.486,0.065,0.503,1.324,0.247,0.004,0.003,0.003,-0.998,-0.068,0.0,1.0,BRD,1
2019-04-08 16:30:00,1,1.207,0.168,4.448,8.429,1.012,0.025,0.011,0.021,-0.942,-0.335,-0.053,-0.999,NEBL,1
2018-10-13 19:00:00,2,0.602,0.102,0.974,3.153,0.335,0.003,0.005,0.008,-0.888,0.46,0.0,1.0,EDO,1
2018-06-27 17:00:00,3,0.656,0.072,1.326,9.582,0.863,0.024,0.014,0.025,-0.998,-0.068,0.0,1.0,ICN,1
2018-10-17 19:01:00,4,3.526,0.332,5.083,10.95,1.823,0.225,0.028,0.059,-0.888,0.46,0.106,0.994,POLY,1
2019-10-03 14:59:45,5,0.215,0.042,0.241,0.036,0.042,0.001,0.001,0.001,-0.631,-0.776,-0.0,1.0,BRD,1
2020-10-21 18:00:00,6,0.131,0.028,1.031,3.063,0.308,0.012,0.011,0.021,-0.979,0.203,0.0,1.0,PPT,1
2020-03-27 21:00:00,7,0.048,0.033,0.268,0.107,0.071,0.005,0.012,0.018,-0.52,0.854,0.0,1.0,FUEL,1
2020-09-04 16:00:15,8,0.109,0.051,0.085,0.001,0.01,-0.0,0.004,0.006,-0.942,-0.335,0.0,1.0,SNM,1
2018-04-14 17:00:15,9,1.631,0.139,6.225,10.705,1.177,0.077,0.029,0.059,-0.998,-0.068,0.0,1.0,TNT,1
2019-02-02 17:58:15,10,0.347,0.055,0.564,1.924,0.205,0.011,0.005,0.008,-0.998,-0.068,-0.106,0.994,GRS,1
2019-07-19 17:00:00,11,0.447,0.078,0.485,0.788,0.115,0.004,0.005,0.009,-0.998,-0.068,0.0,1.0,BTS,1
2020-04-13 11:58:30,12,0.121,0.019,0.385,0.409,0.157,0.031,0.014,0.018,0.136,-0.991,-0.106,0.994,VITE,1
2020-03-26 15:59:30,13,0.162,0.042,0.139,0.24,0.099,0.018,0.013,0.015,-0.817,-0.577,-0.0,1.0,EDO,1
2020-04-10 16:00:00,14,0.946,0.115,1.783,6.796,0.679,0.027,0.01,0.014,-0.942,-0.335,0.0,1.0,GNT,1
2019-08-07 16:59:45,15,0.47,0.127,0.054,0.718,0.15,0.002,0.014,0.021,-0.942,-0.335,-0.0,1.0,SNM,1
2019-03-05 16:30:00,16,0.627,0.08,2.402,3.102,0.359,0.014,0.002,0.004,-0.942,-0.335,-0.053,-0.999,GRS,1
2020-11-27 21:00:15,17,0.14,0.032,0.364,0.218,0.1,0.006,0.005,0.008,-0.52,0.854,0.0,1.0,MDA,1
2018-10-14 19:00:45,18,0.419,0.078,0.331,0.351,0.074,0.003,0.003,0.004,-0.888,0.46,0.0,1.0,REQ,1
2020-11-09 16:00:00,19,0.144,0.084,0.474,1.352,0.259,0.026,0.015,0.03,-0.942,-0.335,0.0,1.0,BRD,1
2019-08-10 20:00:00,20,0.162,0.039,0.596,0.789,0.163,0.003,0.005,0.01,-0.731,0.683,0.0,1.0,STORJ,1
2020-10-18 18:00:15,21,0.183,0.063,0.247,0.121,0.063,0.016,0.032,0.037,-0.979,0.203,0.0,1.0,OAX,1
2019-05-21 13:30:15,22,0.15,0.061,0.308,0.218,0.08,0.003,0.004,0.006,-0.398,-0.917,-0.053,-0.999,CND,1
2018-07-14 17:00:00,23,1.491,0.139,2.062,7.069,0.834,0.034,0.009,0.02,-0.998,-0.068,0.0,1.0,VIBE,1
2018-03-26 18:00:00,24,0.145,0.042,0.206,0.12,0.049,0.001,0.013,0.014,-0.979,0.203,0.0,1.0,SNGLS,1
2020-04-02 15:59:45,25,0.527,0.074,0.916,0.316,0.141,0.002,0.004,0.01,-0.817,-0.577,-0.0,1.0,GRS,1
2018-03-31 16:57:30,26,0.195,0.053,0.539,0.058,0.018,0.033,0.003,0.004,-0.942,-0.335,-0.211,0.977,MDA,1
2018-04-17 16:29:30,27,0.093,0.037,0.1,0.077,0.03,0.011,0.004,0.004,-0.942,-0.335,0.053,-0.999,MDA,1
2019-01-27 17:59:30,28,2.791,0.404,3.552,4.917,0.803,0.052,0.013,0.023,-0.998,-0.068,-0.0,1.0,WINGS,1
2020-08-25 18:00:00,29,2.128,0.167,5.031,8.731,0.781,-0.0,0.019,0.031,-0.979,0.203,0.0,1.0,RDN,1
2019-05-25 16:00:45,30,0.019,0.013,0.021,0.038,0.022,-0.0,0.002,0.002,-0.942,-0.335,0.0,1.0,BRD,1
2020-04-01 11:58:45,31,0.988,0.346,0.082,0.541,0.198,0.013,0.011,0.018,0.136,-0.991,-0.106,0.994,SNGLS,1
2019-06-02 16:00:00,32,1.144,0.141,2.17,2.773,0.339,0.088,0.009,0.017,-0.942,-0.335,0.0,1.0,PIVX,1
2018-03-11 20:00:00,33,0.489,0.063,1.542,2.884,0.293,0.011,0.015,0.029,-0.731,0.683,0.0,1.0,DLT,1
2019-06-17 14:59:30,34,0.143,0.037,0.118,0.077,0.039,0.001,0.006,0.008,-0.631,-0.776,-0.0,1.0,BRD,1
2019-05-18 15:30:00,35,0.344,0.05,0.649,1.36,0.182,0.013,0.005,0.01,-0.817,-0.577,-0.053,-0.999,HC,1
2020-12-11 17:58:15,36,0.037,0.017,0.012,0.003,0.007,0.006,0.003,0.003,-0.998,-0.068,-0.106,0.994,PIVX,1
2019-05-10 16:00:00,37,0.465,0.066,0.818,1.301,0.174,-0.0,0.01,0.015,-0.942,-0.335,0.0,1.0,RDN,1
2019-05-12 17:01:00,38,0.086,0.031,0.077,0.09,0.04,0.0,0.004,0.005,-0.998,-0.068,0.106,0.994,HC,1
2020-11-05 16:00:00,39,0.245,0.046,0.883,1.667,0.194,0.007,0.016,0.022,-0.942,-0.335,0.0,1.0,OAX,1
2019-12-08 21:01:15,40,0.361,0.055,0.063,0.022,0.074,0.019,0.012,0.016,-0.52,0.854,0.106,0.994,EDO,1
2020-10-17 16:00:00,41,0.498,0.063,2.325,5.178,0.644,0.025,0.019,0.033,-0.942,-0.335,0.0,1.0,RDN,1
2018-12-30 12:28:45,42,0.256,0.078,0.324,0.718,0.128,0.044,0.005,0.006,-0.136,-0.991,0.159,-0.987,BQX,1
2019-08-19 15:59:45,43,0.973,0.111,1.949,3.252,0.307,0.015,0.006,0.011,-0.817,-0.577,-0.0,1.0,ONG,1
2020-12-29 18:00:15,44,0.361,0.055,0.933,0.202,0.084,0.007,0.007,0.008,-0.979,0.203,0.0,1.0,EVX,1
2018-05-12 18:00:00,45,0.797,0.073,2.134,9.782,0.667,0.039,0.019,0.033,-0.979,0.203,0.0,1.0,YOYOW,1
2019-07-11 16:59:45,46,0.259,0.084,0.152,0.086,0.036,-0.001,0.008,0.013,-0.942,-0.335,-0.0,1.0,SNM,1
2019-10-29 18:00:15,47,0.114,0.032,0.083,0.096,0.039,0.003,0.003,0.004,-0.979,0.203,0.0,1.0,ONG,1
2019-08-21 17:59:45,49,0.161,0.057,0.068,0.261,0.062,0.035,0.012,0.018,-0.998,-0.068,-0.0,1.0,VIB,1
2019-05-31 14:59:30,50,0.674,0.091,0.718,1.246,0.17,0.005,0.005,0.009,-0.631,-0.776,-0.0,1.0,PPT,1
2021-01-11 16:00:00,51,0.175,0.045,1.454,4.596,0.434,0.039,0.02,0.035,-0.942,-0.335,0.0,1.0,ONG,1
2019-02-24 17:01:00,52,0.092,0.032,0.035,0.003,0.006,-0.0,0.002,0.003,-0.998,-0.068,0.106,0.994,BQX,1
2019-09-08 18:00:00,53,0.728,0.143,0.95,5.333,0.491,0.013,0.018,0.025,-0.979,0.203,0.0,1.0,DATA,1
2018-01-13 20:00:00,54,1.073,0.119,2.085,4.268,0.519,0.006,0.02,0.032,-0.731,0.683,0.0,1.0,GVT,1
2020-06-14 16:00:00,55,1.568,0.188,2.698,9.741,1.321,0.017,0.011,0.02,-0.942,-0.335,0.0,1.0,NEBL,1
2018-06-21 14:30:30,56,0.031,0.019,0.048,0.025,0.028,-0.0,0.0,0.001,-0.631,-0.776,-0.053,-0.999,AST,1
2018-12-08 18:45:00,57,0.319,0.059,0.515,0.642,0.135,-0.001,0.005,0.008,-0.979,0.203,-0.997,0.08,STORJ,1
2020-01-04 20:00:00,58,0.259,0.073,0.561,6.722,1.107,0.021,0.011,0.024,-0.731,0.683,0.0,1.0,DLT,1
2020-06-15 15:57:30,59,0.342,0.065,1.311,0.748,0.132,0.008,0.004,0.007,-0.817,-0.577,-0.211,0.977,GXS,1
2018-06-10 20:00:15,60,0.997,0.123,4.669,17.526,1.367,0.561,0.031,0.049,-0.731,0.683,0.0,1.0,CHAT,1
2018-01-27 18:00:00,62,0.597,0.087,5.808,9.697,0.829,0.046,0.009,0.021,-0.979,0.203,0.0,1.0,BNT,1
2020-12-31 17:00:15,63,0.593,0.152,1.062,1.538,0.299,0.03,0.025,0.033,-0.998,-0.068,0.0,1.0,IDEX,1
2018-11-13 17:00:00,64,0.81,0.099,0.525,2.002,0.328,0.004,0.005,0.007,-0.998,-0.068,0.0,1.0,BRD,1
2018-09-30 19:00:15,65,0.481,0.095,0.917,2.048,0.255,0.011,0.003,0.005,-0.888,0.46,0.0,1.0,VIA,1
2019-02-23 16:59:30,66,0.863,0.088,1.624,0.755,0.226,0.008,0.005,0.011,-0.942,-0.335,-0.0,1.0,HC,1
2018-09-19 18:21:45,67,0.114,0.039,0.075,0.188,0.054,-0.002,0.002,0.003,-0.979,0.203,0.787,-0.618,ICN,1
2018-06-06 13:00:45,68,0.12,0.043,0.013,0.054,0.038,0.003,0.002,0.003,-0.398,-0.917,0.0,1.0,DLT,1
2020-03-21 16:00:45,69,0.024,0.024,0.008,0.004,0.015,0.002,0.002,0.005,-0.942,-0.335,0.0,1.0,TNB,1
2018-06-19 15:29:00,70,0.491,0.067,1.04,2.898,0.495,0.063,0.01,0.016,-0.817,-0.577,0.053,-0.999,EVX,1
2020-06-10 15:59:00,71,0.951,0.106,0.476,0.434,0.128,0.021,0.018,0.026,-0.817,-0.577,-0.0,1.0,VIA,1
2020-05-30 16:00:00,72,1.166,0.417,1.718,2.08,0.227,0.198,0.014,0.03,-0.942,-0.335,0.0,1.0,NAS,1
2019-08-22 20:00:00,73,3.962,0.522,2.42,6.234,0.487,0.073,0.031,0.048,-0.731,0.683,0.0,1.0,SNT,1
2019-05-31 17:00:15,74,0.125,0.032,0.077,0.04,0.029,0.002,0.004,0.004,-0.998,-0.068,0.0,1.0,ARDR,1
2020-02-27 16:00:15,75,0.189,0.058,0.229,1.406,0.303,-0.002,0.009,0.013,-0.942,-0.335,0.0,1.0,DNT,1
2018-12-07 17:00:00,76,0.669,0.093,1.276,1.041,0.184,-0.001,0.005,0.008,-0.998,-0.068,0.0,1.0,OAX,1
2020-03-13 16:00:15,77,0.025,0.029,0.02,0.001,0.01,-0.001,0.011,0.014,-0.942,-0.335,0.0,1.0,TCT,1
2018-03-22 16:00:30,78,0.127,0.032,0.075,0.082,0.04,0.008,0.005,0.007,-0.942,-0.335,0.0,1.0,DLT,1
2020-01-10 18:00:00,79,0.203,0.05,0.406,0.169,0.06,0.005,0.005,0.007,-0.979,0.203,0.0,1.0,GNT,1
2020-04-20 16:00:00,80,0.34,0.052,1.011,0.837,0.191,0.0,0.002,0.003,-0.942,-0.335,0.0,1.0,RLC,1
2018-02-12 19:00:00,81,0.799,0.084,1.933,6.631,0.578,0.01,0.02,0.033,-0.888,0.46,0.0,1.0,MOD,1
2020-01-09 17:00:00,82,0.204,0.047,0.294,0.117,0.05,0.001,0.005,0.008,-0.998,-0.068,0.0,1.0,ONG,1
2018-11-07 17:59:45,83,0.228,0.082,0.876,1.05,0.21,0.008,0.002,0.003,-0.998,-0.068,-0.0,1.0,EVX,1
2021-01-18 17:00:15,84,0.54,0.101,1.042,1.213,0.18,0.013,0.006,0.01,-0.998,-0.068,0.0,1.0,STEEM,1
