symbol,group,date,hour,exchange
BRD,ATW,2018-12-22,17:00,binance
BQX,ATW,2019-02-24,17:00,binance
SYS,ATW,2019-02-27,17:00,binance
HC,ATW,2019-05-12,17:00,binance
BRD,ATW,2019-05-25,16:00,binance
STORJ,ATW,2019-08-10,20:00,binance
ICN,BPG,2018-08-08,16:00,binance
OAX,BPG,2018-08-17,16:00,binance
RDN,BPG,2018-08-21,16:00,binance
DLT,BPG,2018-08-23,16:00,binance
RDN,BPG,2018-09-04,15:30,binance
AST,BPG,2018-09-07,15:30,binance
ICN,BPG,2018-09-11,15:30,binance
OAX,BPG,2018-09-25,14:00,binance
HC,BPG,2018-09-27,14:00,binance
BRD,BPG,2018-10-08,14:00,binance
BRD,BPG,2018-11-13,17:00,binance
EVX,BPG,2018-11-20,17:00,binance
RDN,BPG,2018-11-27,17:00,binance
OAX,BPG,2018-12-07,17:00,binance
EVX,BPG,2018-12-10,17:00,binance
HC,BPG,2018-12-27,17:00,binance
EVX,BPG,2019-01-08,16:00,binance
RDN,BPG,2019-05-10,15:59,binance
CDT,BPG,2019-05-13,15:00,binance
PPT,BPG,2019-05-31,14:59,binance
BRD,BPG,2019-06-17,14:59,binance
RDN,BPG,2019-07-29,15:00,binance
BRD,BPG,2019-10-03,14:59,binance
PPT,BPS,2018-01-03,18:00,binance
KMD,BPS,2018-01-04,16:00,binance
NAV,BPS,2018-01-07,18:00,binance
DGD,BPS,2018-01-09,20:00,binance
GVT,BPS,2018-01-13,20:00,binance
ICN,BPS,2018-01-15,16:59,binance
BNT,BPS,2018-01-20,19:00,binance
XZC,BPS,2018-01-23,18:00,binance
BNT,BPS,2018-01-27,18:00,binance
MOD,BPS,2018-02-12,19:00,binance
DLT,BPS,2018-03-11,20:00,binance
DNT,BPS,2018-03-24,18:30,binance
ICN,BPS,2018-04-04,19:00,binance
SNGLS,BPS,2018-04-10,19:00,binance
TNT,BPS,2018-04-14,17:00,binance
OAX,BPS,2018-04-29,19:00,binance
YOYOW,BPS,2018-05-12,18:00,binance
CHAT,BPS,2018-06-10,20:00,binance
CLOAK,BPS,2018-07-01,19:00,binance
NXS,BPS,2018-07-04,18:59,binance
QLC,BPS,2018-07-28,19:00,binance
VIBE,BPS,2018-09-09,19:00,binance
NAV,BPS,2018-09-22,19:00,binance
DATA,BPS,2018-09-29,19:00,binance
EVX,BPS,2018-10-06,19:00,binance
POLY,BPS,2018-10-17,19:01,binance
XZC,BPS,2018-10-20,20:05,binance
BNT,BPS,2019-01-06,21:00,binance
POA,BPS,2019-05-26,21:00,binance
SNM,BPS,2019-06-02,21:00,binance
NEBL,BPS,2019-06-16,21:00,binance
EDO,BPS,2019-12-08,21:01,binance
PNT,BPS,2020-12-04,23:01,binance
DLT,BPS,2020-12-26,21:00,binance
NEBL,BPS,2021-01-02,21:00,binance
EVX,BPS,2021-01-09,21:00,binance
YOYOW,C4P,2018-05-12,18:02,binance
VIA,CCB,2018-09-30,19:00,binance
CLOAK,CCB,2018-10-01,19:00,binance
QLC,CCB,2018-10-09,17:00,binance
REQ,CCB,2018-10-14,19:00,binance
CND,CCB,2018-10-20,16:00,binance
AST,CCB,2019-03-02,14:00,binance
POA,CCB,2019-05-10,12:00,binance
WPR,CCB,2019-05-15,15:00,binance
STORJ,CCB,2019-06-11,18:00,binance
BLZ,CCB,2019-06-24,18:30,binance
CDT,CCB,2019-08-09,14:59,binance
FUEL,CCB,2020-03-27,21:00,binance
LRC,CPS,2019-07-25,20:00,binance
NAV,CPS,2019-08-01,20:00,binance
CVC,CPS,2019-08-13,20:00,binance
SNT,CPS,2019-08-22,20:00,binance
BNT,CPS,2019-09-09,20:00,binance
LUN,CPS,2020-03-18,19:00,binance
ARN,CPS,2020-04-07,18:00,binance
SYS,CPS,2020-07-16,18:00,binance
VIB,CPS,2020-07-30,18:00,binance
PPT,CPS,2020-08-04,18:00,binance
RDN,CPS,2020-08-25,18:00,binance
QSP,CPS,2020-09-10,18:00,binance
GVT,CPS,2020-09-17,18:00,binance
RDN,CPS,2020-10-17,16:00,binance
OAX,CPS,2020-10-18,18:00,binance
PPT,CPS,2020-10-21,18:00,binance
YOYOW,CPS,2020-11-01,18:00,binance
APPC,CPS,2020-11-04,17:00,binance
OAX,CPS,2020-11-05,16:00,binance
NXS,CPS,2020-11-06,20:00,binance
SNGLS,FCS,2018-03-26,18:03,binance
MTH,FCS,2018-03-30,18:00,binance
MDA,FCS,2018-03-31,16:59,binance
EVX,FCS,2018-04-02,16:30,binance
ICN,FCS,2018-04-02,16:00,binance
CHAT,FCS,2018-04-03,16:00,binance
NAV,FCS,2018-04-09,17:00,binance
RLC,FCS,2018-04-09,15:00,binance
ARN,FCS,2018-04-10,16:30,binance
MDA,FCS,2018-04-17,16:30,binance
MOD,FCS,2018-05-18,15:00,binance
DLT,FCS,2018-06-06,13:00,binance
AST,FCS,2018-06-21,14:30,binance
SUB,FCS,2018-12-27,12:30,binance
BQX,FCS,2018-12-30,12:29,binance
RLC,LUX,2018-04-09,15:00,binance
